ID,Name,pop,div
465,DELAWARE CHRISTIAN SCHOOL,44,III
600,FORT JENNINGS,46,III
538,GAHANNA CHRISTIAN ACADEMY,52,III
1110,NEW RIEGEL,54,III
1365,VILLAGE ACADEMY,54,III
1000027,PATRIOT PREPARATORY ACADEMY,58,III
1336,RUSSIA,62,III
1502,STRYKER,64,III
766,JACKSON CENTER,66,III
1027,MIDDLETOWN CHRISTIAN,66,III
694,HARDIN NORTHERN,69,III
298,CALVERT,72,III
668,GREEN,72,III
656,FAYETTE,73,III
172,BEALLSVILLE,74,III
341,CENTRAL CHRISTIAN,74,III
1298,RIDGEMONT,76,III
246,BRADFORD,77,III
1642,WAYNESFIELD-GOSHEN,77,III
1747,XENIA CHRISTIAN,77,III
1453,SOUTH GALLIA,78,III
136,ARLINGTON,80,III
9272,CINCINNATI COLLEGE PREPARATORY ACADEMY,80,III
452,DANBURY,80,III
512,EDGERTON,81,III
786,JOHN F KENNEDY,81,III
2100,TREE OF LIFE CHRISTIAN,82,III
553,FAIRFIELD CHRISTIAN ACADEMY,84,III
1576,UPPER SCIOTO VALLEY,84,III
1228,PANDORA-GILBOA,86,III
1200,OLD FORT,88,III
1040,MILLERSPORT,90,III
1702,WHITEOAK,92,III
990,MC COMB,93,III
618,FRONTIER,94,III
722,HILLTOP,94,III
768,JACKSON-MILTON,94,III
1494,STRASBURG-FRANKLIN,94,III
1094,NEWBURY,96,III
1114,NEWTON LOCAL,97,III
1454,SOUTHERN,100,III
1529,WELLINGTON SCHOOL,101,III
1751,YOUNGSTOWN CHRISTIAN SCHOOL,101,III
1310,RIVERSIDE,102,III
122,ANSONIA,104,III
128,ARCADIA,105,III
850,LEETONIA,105,III
1446,SOUTH CENTRAL,106,III
1546,TRI-VILLAGE,106,III
1628,WATERFORD,108,III
1662,WESTERN,108,III
1748,YELLOW SPRINGS,108,III
996,MC KINLEY,110,III
1296,RIDGEDALE,110,III
1468,SPENCERVILLE,113,III
572,FAIRVIEW,114,III
992,MC DONALD,114,III
958,MARION LOCAL,116,III
823,LAKE CENTER CHRISTIAN SCHOOL,118,III
250,BRIDGEPORT,120,III
576,FAYETTEVILLE-PERRY,121,III
1306,RIVER,121,III
732,HOPEWELL-LOUDON,122,III
854,LEIPSIC,122,III
194,BELPRE,124,III
1226,PAINT VALLEY,124,III
1536,TORONTO,124,III
368,CINCINNATI COUNTRY DAY,125,III
580,FELICITY-FRANKLIN,126,III
1102,NEW LONDON,126,III
1564,TWIN VALLEY SOUTH,126,III
552,FAIRFIELD,128,III
878,LINCOLNVIEW,128,III
1242,PERRY,128,III
1304,RITTMAN,128,III
230,SOUTH WEBSTER,128,III
438,CRESTVIEW,129,III
720,HILLSDALE,130,III
1562,TRI-COUNTY NORTH,130,III
204,BERNE UNION,132,III
834,LAKOTA,132,III
1052,MINSTER,132,III
316,CAREY,133,III
1456,SOUTHERN,133,III
100,ADA,136,III
667,CINCINNATI CHRISTIAN,136,III
1092,NEW BREMEN,136,III
1418,SHENANDOAH,136,III
638,GEORGETOWN,137,III
446,CUYAHOGA HEIGHTS,138,III
604,FORT RECOVERY,141,III
946,MAPLETON,141,III
1230,PARKWAY,141,III
1090,NEWARK CATHOLIC,142,III
864,LIBERTY CENTER,145,III
1238,PEEBLES,145,III
1340,ST BERNARD-ELMWOOD PLACE,145,III
404,COLUMBIA,146,III
466,DELTA,148,III
1063,MONROE CENTRAL,149,III
1096,NEWCOMERSTOWN,149,III
1302,RIPLEY-UNION-LEWIS-HUNTINGTON,149,III
772,JEFFERSON,150,III
1586,VALLEY,150,III
1722,WOODMORE,150,III
1742,WYNFORD,150,III
334,CENTERBURG,152,III
460,DAYTON CHRISTIAN,152,III
860,LIBERTY,152,III
9015,OYLER,152,III
182,BELLAIRE,154,III
206,BETHEL,156,III
340,CANTON CENTRAL CATHOLIC,158,III
614,FREDERICKTOWN,160,III
900,LOUDONVILLE,160,III
458,DAWSON-BRYANT,161,III
1010,MEMORIAL,161,III
504,EAST PALESTINE,162,III
1404,SEVEN HILLS,162,III
1450,SOUTHEASTERN,164,III
1532,TINORA,164,III
1186,OAK HILL,165,III
442,CROOKSVILLE,166,III
524,ELGIN,166,III
408,COLUMBIANA,168,III
1630,WATERLOO,169,III
105,AFRICENTRIC EARLY COLLEGE,170,III
544,FAIRBANKS,170,III
812,KIRTLAND,170,III
308,CARDINAL,172,III
950,MARGARETTA,174,III
916,LYNCHBURG-CLAY,176,III
120,ANNA,180,III
1506,SWANTON,180,III
1272,PREBLE SHAWNEE,181,III
410,COLUMBUS ACADEMY,182,III
1018,MIAMI EAST,188,III
1084,NELSONVILLE-YORK,188,III
1284,READING,188,III
1570,UNITED,188,III
496,EASTERN,189,III
1048,MINFORD,189,III
1268,PORTSMOUTH,189,III
1640,WAYNEDALE,190,III
519,EDISON,192,III
1280,PYMATUNING VALLEY,192,III
394,COLDWATER,193,III
1174,NORWAYNE,193,III
226,BLACK RIVER,194,III
642,GILMOUR ACADEMY,197,III
636,GENOA AREA,198,III
362,CHESAPEAKE,200,III
1652,WELLSTON,201,III
310,CARDINAL MOONEY,202,III
354,CHAMPION,202,III
490,EAST CLINTON,202,III
1706,WICKLIFFE,202,III
202,BERKSHIRE & LEDGEMONT,204,III
760,IRONTON,204,III
630,GARFIELD,206,III
662,GRAND VALLEY,206,III
1558,TUSCARAWAS VALLEY,208,III
1650,WELLINGTON,208,III
208,BETHEL-TATE,212,III
556,FAIRLAND,213,III
754,INDIAN LAKE,213,III
1212,OTSEGO,213,III
818,LABRAE,217,II
1256,PIKETON,217,II
1696,WHEELERSBURG,217,II
1584,UTICA,218,II
1580,URSULINE,220,II
1332,ROSSFORD,221,II
1168,NORTHWESTERN,222,II
106,AIKEN,224,II
620,GALION,224,II
1100,NEW LEXINGTON,224,II
1166,NORTHWEST,224,II
108,ALEXANDER,225,II
1710,WILLARD,225,II
1458,SOUTH POINT,226,II
1676,WESTFALL,228,II
264,BROOKVILLE,229,II
1644,WAYNESVILLE,229,II
606,FOSTORIA,230,II
318,CARLISLE,232,II
518,EDISON,232,II
706,HEATH,232,II
1210,ORRVILLE,232,II
1300,RIDGEWOOD,232,II
733,HORIZON SCIENCE ACADEMY,234,II
560,FAIRLESS,236,II
1148,NORTHRIDGE,236,II
114,AMANDA-CLEARCREEK,237,II
1460,SOUTH RANGE,237,II
170,BEACHWOOD,238,II
712,HIGHLAND,238,II
866,LIBERTY UNION,238,II
1156,NORTH UNION,240,II
1560,TUSLAW,240,II
622,GALLIA ACADEMY,241,II
794,JOHNSTOWN-MONROE,242,II
1364,VILLA ANGELA-ST JOSEPH,244,II
582,BISHOP FENWICK,248,II
758,INDIAN VALLEY,248,II
1252,PHILO,249,II
1448,SOUTHEAST,250,II
1636,WAVERLY,254,II
954,MARIEMONT,256,II
1566,UNION LOCAL,257,II
590,FIRELANDS,258,II
820,LAKE,258,II
1008,MEIGS,260,II
892,LONDON,265,II
378,CLEAR FORK,266,II
1184,OAK HARBOR,268,II
1596,VAN WERT,268,II
282,BUCKEYE LOCAL,269,II
300,CAMBRIDGE,269,II
1392,SALEM,269,II
1578,URBANA,269,II
1634,WAUSEON,269,II
514,EDGEWOOD,270,II
770,JANE ADDAMS,270,II
1266,PORT CLINTON,270,II
1524,TAYLOR,270,II
262,BROOKSIDE,272,II
844,LAUREL,272,II
988,MC CLAIN,272,II
228,BLANCHESTER,273,II
890,LOGAN ELM,273,II
1574,UPPER SANDUSKY,273,II
440,CRESTWOOD,274,II
1416,SHELBY,276,II
584,FIELD,277,II
570,FAIRVIEW,278,II
1344,ST CLAIRSVILLE,278,II
176,BEAVER,281,II
476,DUNBAR,281,II
751,INDIAN CREEK,282,II
1246,PERRY,282,II
870,LICKING VALLEY,284,II
1206,ONTARIO,284,II
1604,VINTON COUNTY,284,II
9360,Columbus Bishop Hartley,285,II
1002,MEADOWDALE,285,II
1568,UNIOTO,286,II
482,EAST,288,II
728,HOLY NAME,289,II
1314,RIVER VALLEY,292,II
500,EAST LIVERPOOL,294,II
830,LAKEWOOD,294,II
132,ARCHBISHOP ALTER,298,II
1062,MONROE,301,II
1724,WOODRIDGE,301,II
392,CLYDE,302,II
1080,NAPOLEON,304,II
370,CIRCLEVILLE,306,II
806,KENTON RIDGE,306,II
1375,ST MARTIN de PORRES,306,II
1598,VERMILION,306,II
192,BELMONT,309,II
652,GLENVILLE ACADEMIC CAMPUS,310,II
742,HUGHES,312,II
1436,SOUTH,312,II
448,CUYAHOGA VALLEY CHRISTIAN ACADEMY,313,II
212,BEXLEY,314,II
