ID,Name,pop,div
100,ADA,136,III
105,AFRICENTRIC EARLY COLLEGE,170,III
106,AIKEN,224,II
108,ALEXANDER,225,II
114,AMANDA-CLEARCREEK,237,II
118,ANDERSON,541,I
120,ANNA,180,III
122,ANSONIA,104,III
124,ANTHONY WAYNE,693,I
128,ARCADIA,105,III
132,ARCHBISHOP ALTER,298,II
998,ARCHBISHOP McNICHOLAS,318,II
136,ARLINGTON,80,III
138,ASHLAND,534,I
144,ATHENS,393,II
146,AURORA,457,I
148,AUSTINTOWN-FITCH,790,I
150,AVON,597,I
152,AVON LAKE,580,I
170,BEACHWOOD,238,II
172,BEALLSVILLE,74,III
176,BEAVER,281,II
178,BEAVERCREEK,1154,I
182,BELLAIRE,154,III
184,BELLBROOK,422,II
192,BELMONT,309,II
194,BELPRE,124,III
200,BEREA-MIDPARK,1024,I
202,BERKSHIRE & LEDGEMONT,204,III
204,BERNE UNION,132,III
206,BETHEL,156,III
208,BETHEL-TATE,212,III
212,BEXLEY,314,II
214,BIG WALNUT,438,I
582,BISHOP FENWICK,248,II
224,BISHOP WATTERSON,614,I
226,BLACK RIVER,194,III
228,BLANCHESTER,273,II
238,BOARDMAN,657,I
242,BOWLING GREEN,386,II
244,BOWSHER,697,I
246,BRADFORD,77,III
248,BRECKSVILLE-BROADVIEW HTS,684,I
250,BRIDGEPORT,120,III
252,BRIGGS,562,I
262,BROOKSIDE,272,II
264,BROOKVILLE,229,II
268,BRUNSWICK,1120,I
270,BRUSH,613,I
276,BUCKEYE,361,II
282,BUCKEYE LOCAL,269,II
286,BUCKEYE VALLEY,334,II
292,BUTLER,500,I
298,CALVERT,72,III
300,CAMBRIDGE,269,II
302,CANAL WINCHESTER,554,I
304,CANFIELD,464,I
340,CANTON CENTRAL CATHOLIC,158,III
306,CANTON McKINLEY SENIOR,1305,I
1432,CANTON SOUTH,317,II
308,CARDINAL,172,III
310,CARDINAL MOONEY,202,III
316,CAREY,133,III
318,CARLISLE,232,II
320,CARROLL,332,II
334,CENTERBURG,152,III
336,CENTERVILLE,1298,I
342,CENTRAL CATHOLIC,321,II
341,CENTRAL CHRISTIAN,74,III
345,CENTRAL CROSSING,845,I
352,CHAMINADE JULIENNE,346,II
354,CHAMPION,202,III
360,CHARDON,466,I
362,CHESAPEAKE,200,III
364,CHILLICOTHE,430,II
667,CINCINNATI CHRISTIAN,136,III
9272,CINCINNATI COLLEGE PREPARATORY ACADEMY,80,III
368,CINCINNATI COUNTRY DAY,125,III
370,CIRCLEVILLE,306,II
372,CLAY,576,I
378,CLEAR FORK,266,II
384,CLEVELAND CENTRAL CATHOLIC,337,II
385,CLEVELAND HEIGHTS,844,I
390,CLOVERLEAF,357,II
392,CLYDE,302,II
394,COLDWATER,193,III
396,COLERAIN,865,I
398,COLLINWOOD,380,II
404,COLUMBIA,146,III
406,COLUMBIAN,414,II
408,COLUMBIANA,168,III
410,COLUMBUS ACADEMY,182,III
9360,Columbus Bishop Hartley,285,II
422,COPLEY,492,I
428,COVENTRY,330,II
438,CRESTVIEW,129,III
440,CRESTWOOD,274,II
442,CROOKSVILLE,166,III
444,CUYAHOGA FALLS,748,I
446,CUYAHOGA HEIGHTS,138,III
448,CUYAHOGA VALLEY CHRISTIAN ACADEMY,313,II
452,DANBURY,80,III
458,DAWSON-BRYANT,161,III
460,DAYTON CHRISTIAN,152,III
464,DEFIANCE,370,II
465,DELAWARE CHRISTIAN SCHOOL,44,III
466,DELTA,148,III
474,DUBLIN COFFMAN,912,I
486,DUBLIN JEROME,728,I
475,DUBLIN SCIOTO,609,I
476,DUNBAR,281,II
482,EAST,288,II
483,EAST,620,I
490,EAST CLINTON,202,III
500,EAST LIVERPOOL,294,II
504,EAST PALESTINE,162,III
496,EASTERN,189,III
502,EASTMOOR ACADEMY,416,II
512,EDGERTON,81,III
514,EDGEWOOD,270,II
516,EDGEWOOD,488,I
519,EDISON,192,III
518,EDISON,232,II
524,ELGIN,166,III
526,ELIDA,377,II
528,ELLET,593,I
532,ELYRIA,1001,I
540,EUCLID,858,I
544,FAIRBANKS,170,III
548,FAIRBORN,505,I
552,FAIRFIELD,128,III
550,FAIRFIELD,961,I
553,FAIRFIELD CHRISTIAN ACADEMY,84,III
556,FAIRLAND,213,III
560,FAIRLESS,236,II
572,FAIRVIEW,114,III
570,FAIRVIEW,278,II
656,FAYETTE,73,III
576,FAYETTEVILLE-PERRY,121,III
580,FELICITY-FRANKLIN,126,III
584,FIELD,277,II
586,FINDLAY,810,I
590,FIRELANDS,258,II
592,FIRESTONE,729,I
600,FORT JENNINGS,46,III
604,FORT RECOVERY,141,III
606,FOSTORIA,230,II
608,FRANKLIN,444,I
610,FRANKLIN HEIGHTS,657,I
614,FREDERICKTOWN,160,III
616,FREMONT ROSS,573,I
618,FRONTIER,94,III
538,GAHANNA CHRISTIAN ACADEMY,52,III
876,GAHANNA LINCOLN,1150,I
620,GALION,224,II
622,GALLIA ACADEMY,241,II
630,GARFIELD,206,III
634,GENEVA,400,II
636,GENOA AREA,198,III
638,GEORGETOWN,137,III
642,GILMOUR ACADEMY,197,III
646,GLEN ESTE,580,I
650,GLENOAK,909,I
652,GLENVILLE ACADEMIC CAMPUS,310,II
658,GOSHEN,362,II
662,GRAND VALLEY,206,III
666,GRANVILLE,433,I
668,GREEN,72,III
670,GREEN,634,I
680,GROVE CITY,906,I
682,GROVEPORT-MADISON,717,I
685,HAMILTON,1273,I
686,HAMILTON TOWNSHIP,437,I
694,HARDIN NORTHERN,69,III
696,HARRISON,504,I
700,HATHAWAY BROWN SCHOOL,389,II
704,HAYES,713,I
706,HEATH,232,II
712,HIGHLAND,238,II
710,HIGHLAND,538,I
713,HILLIARD BRADLEY,762,I
717,HILLIARD DARBY,756,I
716,HILLIARD DAVIDSON,816,I
718,HILLSBORO,432,II
720,HILLSDALE,130,III
722,HILLTOP,94,III
728,HOLY NAME,289,II
730,HOOVER,669,I
732,HOPEWELL-LOUDON,122,III
733,HORIZON SCIENCE ACADEMY,234,II
736,HOWLAND,409,II
740,HUDSON,778,I
742,HUGHES,312,II
748,INDEPENDENCE,357,II
751,INDIAN CREEK,282,II
754,INDIAN LAKE,213,III
758,INDIAN VALLEY,248,II
760,IRONTON,204,III
762,JACKSON,346,II
764,JACKSON,1008,I
766,JACKSON CENTER,66,III
768,JACKSON-MILTON,94,III
770,JANE ADDAMS,270,II
772,JEFFERSON,150,III
786,JOHN F KENNEDY,81,III
794,JOHNSTOWN-MONROE,242,II
800,KENMORE,324,II
802,KENSTON,486,I
806,KENTON RIDGE,306,II
807,KETTERING FAIRMONT,1102,I
810,KINGS,588,I
812,KIRTLAND,170,III
818,LABRAE,217,II
820,LAKE,258,II
822,LAKE,549,I
824,LAKE CATHOLIC,422,II
823,LAKE CENTER CHRISTIAN SCHOOL,118,III
140,LAKESIDE,434,I
828,LAKEVIEW,318,II
830,LAKEWOOD,294,II
832,LAKEWOOD,790,I
834,LAKOTA,132,III
836,LAKOTA EAST,1309,I
837,LAKOTA WEST,1153,I
838,LANCASTER,841,I
844,LAUREL,272,II
846,LEBANON,792,I
850,LEETONIA,105,III
854,LEIPSIC,122,III
856,LEXINGTON,360,II
860,LIBERTY,152,III
864,LIBERTY CENTER,145,III
866,LIBERTY UNION,238,II
868,LICKING HEIGHTS,497,I
870,LICKING VALLEY,284,II
872,LIMA SENIOR,521,I
878,LINCOLNVIEW,128,III
884,LITTLE MIAMI,518,I
888,LOGAN,593,I
890,LOGAN ELM,273,II
892,LONDON,265,II
900,LOUDONVILLE,160,III
902,LOUISVILLE,450,I
904,LOVELAND,661,I
916,LYNCHBURG-CLAY,176,III
922,MADISON,504,I
926,MADISON COMPREHENSIVE,469,I
930,MAGNIFICAT,776,I
946,MAPLETON,141,III
950,MARGARETTA,174,III
954,MARIEMONT,256,II
956,MARIETTA,405,II
690,MARION HARDING,492,I
958,MARION LOCAL,116,III
967,MARTIN LUTHER KING JR.,378,II
970,MARYSVILLE,740,I
972,MASON,1728,I
976,MAUMEE,408,II
978,MAX S. HAYES VOCATIONAL SCHOOL,457,I
980,MAYFIELD,624,I
982,MAYSVILLE,316,II
988,MC CLAIN,272,II
990,MC COMB,93,III
992,MC DONALD,114,III
996,MC KINLEY,110,III
984,MCAULEY,469,I
1002,MEADOWDALE,285,II
1006,MEDINA,1100,I
1008,MEIGS,260,II
1010,MEMORIAL,161,III
1016,MENTOR,1301,I
1018,MIAMI EAST,188,III
1022,MIAMI TRACE,318,II
1020,MIAMISBURG,816,I
1027,MIDDLETOWN CHRISTIAN,66,III
1030,MIDVIEW,477,I
1032,MIFFLIN,612,I
1034,MILFORD,948,I
1040,MILLERSPORT,90,III
1046,MINERVA,322,II
1048,MINFORD,189,III
1052,MINSTER,132,III
1062,MONROE,301,II
1063,MONROE CENTRAL,149,III
1076,MOUNT NOTRE DAME,682,I
1078,MOUNT VERNON,537,I
1080,NAPOLEON,304,II
1084,NELSONVILLE-YORK,188,III
1086,NEW ALBANY,716,I
1092,NEW BREMEN,136,III
1100,NEW LEXINGTON,224,II
1102,NEW LONDON,126,III
1106,NEW PHILADELPHIA,408,II
1110,NEW RIEGEL,54,III
1090,NEWARK CATHOLIC,142,III
1094,NEWBURY,96,III
1096,NEWCOMERSTOWN,149,III
1114,NEWTON LOCAL,97,III
994,NILES MC KINLEY,344,II
1116,NORDONIA,597,I
1118,NORMANDY,586,I
1120,NORTH,476,I
1146,NORTH OLMSTED,632,I
1152,NORTH RIDGEVILLE,541,I
1154,NORTH ROYALTON,780,I
1156,NORTH UNION,240,II
1140,NORTHLAND,606,I
1142,NORTHMONT,772,I
1148,NORTHRIDGE,236,II
1166,NORTHWEST,224,II
1162,NORTHWEST,322,II
1168,NORTHWESTERN,222,II
1158,NORTON,325,II
1160,NORWALK,397,II
1174,NORWAYNE,193,III
1182,NOTRE DAME ACADEMY,610,I
1180,NOTRE DAME-CATHEDRAL LATIN,382,II
1184,OAK HARBOR,268,II
1186,OAK HILL,165,III
1188,OAK HILLS,1249,I
1200,OLD FORT,88,III
1202,OLENTANGY,837,I
1203,OLENTANGY LIBERTY,952,I
1211,OLENTANGY ORANGE,849,I
1204,OLMSTED FALLS,570,I
1206,ONTARIO,284,II
1208,ORANGE,317,II
1210,ORRVILLE,232,II
1212,OTSEGO,213,III
9015,OYLER,152,III
1224,PADUA FRANCISCAN,382,II
1226,PAINT VALLEY,124,III
1228,PANDORA-GILBOA,86,III
1230,PARKWAY,141,III
1232,PARMA,677,I
1000027,PATRIOT PREPARATORY ACADEMY,58,III
1238,PEEBLES,145,III
1242,PERRY,128,III
1246,PERRY,282,II
1244,PERRY,648,I
1248,PERRYSBURG,720,I
1252,PHILO,249,II
1254,PICKERINGTON HS CENTRAL,818,I
1255,PICKERINGTON HS NORTH,858,I
1256,PIKETON,217,II
1258,PIQUA,501,I
1264,POLAND SEMINARY,336,II
1266,PORT CLINTON,270,II
1268,PORTSMOUTH,189,III
1272,PREBLE SHAWNEE,181,III
1274,PRINCETON,766,I
1280,PYMATUNING VALLEY,192,III
1281,RAVENNA,326,II
1284,READING,188,III
1290,REYNOLDSBURG,976,I
1296,RIDGEDALE,110,III
1298,RIDGEMONT,76,III
1300,RIDGEWOOD,232,II
1302,RIPLEY-UNION-LEWIS-HUNTINGTON,149,III
1304,RITTMAN,128,III
1306,RIVER,121,III
1314,RIVER VALLEY,292,II
1310,RIVERSIDE,102,III
1312,RIVERSIDE,625,I
1320,ROCKY RIVER,438,I
1326,ROOSEVELT,536,I
1330,ROSS,418,II
1332,ROSSFORD,221,II
1336,RUSSIA,62,III
1392,SALEM,269,II
1397,SCHOOL FOR CREATIVE PERFORMING ARTS,350,II
1398,SCOTT,356,II
1402,SETON,504,I
1404,SEVEN HILLS,162,III
1408,SHAKER HEIGHTS,909,I
1410,SHAW,453,I
1414,SHAWNEE,337,II
1412,SHAWNEE,389,II
1416,SHELBY,276,II
1418,SHENANDOAH,136,III
1420,SHERIDAN,345,II
1422,SIDNEY,514,I
1428,SOLON,841,I
1436,SOUTH,312,II
1446,SOUTH CENTRAL,106,III
1453,SOUTH GALLIA,78,III
1458,SOUTH POINT,226,II
1460,SOUTH RANGE,237,II
230,SOUTH WEBSTER,128,III
1448,SOUTHEAST,250,II
1450,SOUTHEASTERN,164,III
1454,SOUTHERN,100,III
1456,SOUTHERN,133,III
1468,SPENCERVILLE,113,III
1470,SPRINGBORO,906,I
1472,SPRINGFIELD,372,II
1476,SPRINGFIELD,534,I
1340,ST BERNARD-ELMWOOD PLACE,145,III
1344,ST CLAIRSVILLE,278,II
1348,ST FRANCIS DE SALES,453,I
1366,ST JOSEPH ACADEMY,721,I
1375,ST MARTIN de PORRES,306,II
1380,ST URSULA ACADEMY,682,I
1384,ST VINCENT-ST MARY,318,II
1484,STEBBINS,588,I
1486,STEELE,636,I
7488,STIVERS SCHOOL FOR THE ARTS,414,II
1492,STOW-MUNROE FALLS,926,I
1494,STRASBURG-FRANKLIN,94,III
1498,STRONGSVILLE,1069,I
1502,STRYKER,64,III
1506,SWANTON,180,III
1508,SYCAMORE,774,I
1510,SYLVANIA NORTHVIEW,570,I
1512,SYLVANIA SOUTHVIEW,553,I
1520,TALAWANDA,438,I
1524,TAYLOR,270,II
1526,TEAYS VALLEY,532,I
1528,TECUMSEH,442,I
1738,THOMAS WORTHINGTON,805,I
1532,TINORA,164,III
1534,TIPPECANOE,369,II
1536,TORONTO,124,III
2100,TREE OF LIFE CHRISTIAN,82,III
1562,TRI-COUNTY NORTH,130,III
1544,TRI-VALLEY,424,II
1546,TRI-VILLAGE,106,III
1550,TROTWOOD-MADISON,397,II
1552,TROY,608,I
1554,TURPIN,625,I
1558,TUSCARAWAS VALLEY,208,III
1560,TUSLAW,240,II
1564,TWIN VALLEY SOUTH,126,III
350,TWINSBURG,658,I
1566,UNION LOCAL,257,II
1568,UNIOTO,286,II
1570,UNITED,188,III
1572,UPPER ARLINGTON,870,I
1574,UPPER SANDUSKY,273,II
1576,UPPER SCIOTO VALLEY,84,III
1578,URBANA,269,II
1580,URSULINE,220,II
1582,URSULINE ACADEMY,684,I
1584,UTICA,218,II
1586,VALLEY,150,III
1588,VALLEY FORGE,592,I
1596,VAN WERT,268,II
1598,VERMILION,306,II
1364,VILLA ANGELA-ST JOSEPH,244,II
1365,VILLAGE ACADEMY,54,III
1604,VINTON COUNTY,284,II
1606,WADSWORTH,693,I
1608,WAITE,474,I
1610,WALNUT HILLS,945,I
1612,WALNUT RIDGE,476,I
1614,WALSH JESUIT,545,I
1616,WAPAKONETA,385,II
1624,WASHINGTON,537,I
1628,WATERFORD,108,III
1630,WATERLOO,169,III
1632,WATKINS MEMORIAL,582,I
1634,WAUSEON,269,II
1636,WAVERLY,254,II
1640,WAYNEDALE,190,III
1642,WAYNESFIELD-GOSHEN,77,III
1644,WAYNESVILLE,229,II
1650,WELLINGTON,208,III
1529,WELLINGTON SCHOOL,101,III
1652,WELLSTON,201,III
1656,WEST,426,II
1658,WEST BRANCH,320,II
1678,WEST GEAUGA,369,II
1680,WEST HOLMES,326,II
1662,WESTERN,108,III
1664,WESTERN BROWN,429,II
1671,WESTERVILLE CENTRAL,841,I
1672,WESTERVILLE NORTH,688,I
