none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all
1303.0,190.0,222.0,37.0,193.0,24.0,28.0,3.0
1335.0,209.0,188.0,24.0,197.0,22.0,24.0,1.0
1278.0,197.0,219.0,29.0,216.0,25.0,34.0,2.0
1299.0,200.0,222.0,24.0,201.0,25.0,21.0,8.0
1310.0,188.0,207.0,33.0,195.0,36.0,27.0,4.0
1251.0,207.0,226.0,33.0,230.0,21.0,27.0,5.0
1305.0,195.0,224.0,25.0,200.0,19.0,26.0,6.0
1318.0,201.0,200.0,31.0,196.0,25.0,26.0,3.0
1297.0,192.0,229.0,29.0,200.0,21.0,27.0,5.0
1290.0,223.0,198.0,25.0,214.0,17.0,30.0,3.0
1310.0,187.0,218.0,26.0,206.0,25.0,25.0,3.0
1342.0,194.0,184.0,20.0,198.0,27.0,34.0,1.0
