none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all,,,,
1389,166,193,17,195,17,18,5,,,,
1425,169,157,23,181,22,18,5,,,,
1385,193,197,19,167,19,17,3,,,,
1403,170,176,19,190,20,20,2,,,,
1430,169,177,19,163,19,21,2,,,,
1394,181,190,23,167,18,27,0,,,,
1414,178,175,20,172,23,17,1,,,,
1420,167,170,20,172,19,31,1,,,,
1381,194,198,21,159,19,24,4,,,,
1368,174,174,21,206,24,27,6,,,,
1408,176,188,25,166,12,23,2,,,,
1406,158,167,26,197,19,24,3,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16823,2095,2162,253,2135,231,267,34,24000,,0.1116,0.88894
16859 ,2117 ,2117 ,266 ,2117 ,266 ,266 ,33 ,,,,
,,,,,,,,,,,
0.076340114,0.2186061,0.977711432,0.608210323,0.161529335,4.534831419,0.006237974,0.012344373,6.595811071,,,
